Variable,cc Variable,Used For,Reports Populated,"Where, When to Set",Setting Example,Implemented?,Notes,,LensCrafters,,
"s.events=""prodView""",,,Products > Product Views,,,,,,Sunglass Hut,,
"s.events=""scOpen""",,,Site Metrics > Shopping Cart > Cart Opens,,,,,,Sears Optical,,
"s.events=""scAdd""",,,Site Metrics > Shopping Cart > Cart Adds,,,,,,,,
"s.events=""scRemove""",,,Site Metrics > Shopping Cart > Cart Removes,,,,,,,,
"s.events=""scView""",,,Site Metrics > Shopping Cart > Cart Views,,,,,,,,
"s.events=""scCheckout""",,,Site Metrics > Shopping Cart > Checkouts,,,,,,,,
"s.events=""purchase""",,,Site Metrics > Purchases > Orders,,,,,,,,
"s.events=""purchase"" with s.products",,,Site Metrics > Purchases > Revenue,,,,,,,,
"s.events=""purchase"" with s.products",,,Site Metrics > Purchases > Units,,,,,,,,
"s.events=""event1""",,,,,,,,,,,
"s.events=""event2""",,,,,,,,,,,
"s.events=""event3""",,,,,,,,,,,
"s.events=""event4""",,,,,,,,,,,
"s.events=""event5""",,,,,,,,,,,
"s.events=""event6""",,,,,,,,,,,
"s.events=""event7""",,,,,,,,,,,
"s.events=""event8""",,,,,,,,,,,
"s.events=""event9""",,,,,,,,,,,
"s.events=""event10""",,,,,,,,,,,
"s.events=""event11""",,,,,,,,,,,
"s.events=""event12""",,,,,,,,,,,
"s.events=""event13""",,,,,,,,,,,
"s.events=""event14""",,,,,,,,,,,
"s.events=""event15""",,,,,,,,,,,
"s.events=""event16""",,,,,,,,,,,
"s.events=""event17""",,,,,,,,,,,
"s.events=""event18""",,,,,,,,,,,
"s.events=""event19""",,,,,,,,,,,
"s.events=""event20""",,,,,,,,,,,
"s.events=""event21""",,,,,,,,,,,
"s.events=""event22""",,,,,,,,,,,
"s.events=""event23""",,,,,,,,,,,
"s.events=""event24""",,,,,,,,,,,
"s.events=""event25""",,,,,,,,,,,
"s.events=""event26""",,,,,,,,,,,
"s.events=""event27""",,,,,,,,,,,
"s.events=""event28""",,,,,,,,,,,
"s.events=""event29""",,,,,,,,,,,
"s.events=""event30""",,,,,,,,,,,
"s.events=""event31""",,,,,,,,,,,
"s.events=""event32""",,,,,,,,,,,
"s.events=""event33""",,,,,,,,,,,
"s.events=""event34""",,,,,,,,,,,
"s.events=""event35""",,,,,,,,,,,
"s.events=""event36""",,,,,,,,,,,
"s.events=""event37""",,,,,,,,,,,
"s.events=""event38""",,,,,,,,,,,
"s.events=""event39""",,,,,,,,,,,
"s.events=""event40""",,,,,,,,,,,
"s.events=""event41""",,,,,,,,,,,
"s.events=""event42""",,,,,,,,,,,
"s.events=""event43""",,,,,,,,,,,
"s.events=""event44""",,,,,,,,,,,
"s.events=""event45""",,,,,,,,,,,
"s.events=""event46""",,,,,,,,,,,
