Variable,Used For,,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical
"s.events=""prodView""",,,,X,X,X,X
"s.events=""scOpen""",,,,X,X,X,X
"s.events=""scAdd""",,,,X,X,X,X
"s.events=""scView""",Cart Views,,,X,X,X,X
"s.events=""scCheckout""",Checkouts,,,X,X,X,X
"s.events=""purchase""",,,,X,X,X,X
"s.events=""purchase"" with s.products",,,,X,X,X,X
"s.events=""purchase"" with s.products",,,,X,X,X,X
"s.events=""event1""",Email: Subscriptions,,X,X,X,X,X
"s.events=""event2""",Email: Un-Subscribe,,X,X,X,X,X
"s.events=""event3""",Store Locator: Searches,,X,X,X,X,X
"s.events=""event4""",Store Locator: Null Results,,X,X,X,X,X
"s.events=""event5""",Internal Campaign Clicked,,X,X,X,X,X
"s.events=""event6""",Appointment Scheduler: Started,,X,X,X,,X
"s.events=""event7""",Appointment Scheduler: Step 2,,X,X,X,,X
"s.events=""event8""",Appointment Scheduler: Completed,,X,X,X,,X
"s.events=""event9""",Appointment Scheduler: Modified,,X,X,X,,X
"s.events=""event10""",Appointment Scheduler: Deleted,,X,X,X,,X
"s.events=""event11""",Add to my contacts,,X,,X,X,X
"s.events=""event12""",Click to Call,,X,X,X,X,X
"s.events=""event13""",Social Share,,X,X,X,X,X
"s.events=""event14""",Print Coupons,,X,,X,X,X
"s.events=""event15""",Registration,,,,X,X,X
"s.events=""event16""",Product View (custom),,,,X,X,X
"s.events=""event17""",Product Quick View (custom),,,,X,X,X
"s.events=""event18""",Onsite Search: Null Results,,,X,X,X,X
"s.events=""event19""",Onsite Search: Searches,,,X,X,X,X
"s.events=""event20""",Product Refinement,,,X,X,X,X
"s.events=""event21""",Product Refinement: Narrow Facet 1,,,,X,X,X
"s.events=""event22""",Product Refinement: Narrow Facet 2,,,,X,X,X
"s.events=""event23""",Product Refinement: Narrow Facet 3,,,,X,X,X
"s.events=""event24""",Checkout: Address,,,X,X,X,X
"s.events=""event25""",Checkout: Shipping/Billing,,,X,X,X,X
"s.events=""event26""",Checkout: Order Summary,,,X,X,X,X
"s.events=""event27""",Potential Revenue,,,X,X,X,X
"s.events=""event28""",Checkout: Promo Dollar Ammount,,,X,X,X,X
"s.events=""event29""",Promo Code Used,,,X,X,X,X
"s.events=""event30""",Add to Wishlist,,,X,X,X,X
"s.events=""event31""",Bazaarvoice Product Reviews,,,,X,X,X
"s.events=""event32""",Bazaarvoice Review Completion,,,,X,X,X
"s.events=""event33""",,,,,,,X
"s.events=""event34""",Login,,,X,,X,
"s.events=""event35""",Appointment Scheduler: Repeat Customer,,,X,X,,
"s.events=""event36""",checkout: cart page,,,,,x,X
"s.events=""event37""",,,,,,,
"s.events=""event38""",,,,,,,
"s.events=""event39""",Brand Specific,,,,X,,
"s.events=""event40""",Brand Specific,,,,X,,X
"s.events=""event41""",Brand Specific,,,,X,,X
"s.events=""event42""",Brand Specific,,,,X,,X
"s.events=""event43""",Brand Specific,,,,X,,X
