Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,
"s.events=""prodView""",,N,Y,N,Y,,
"s.events=""scOpen""",,N,Y,N,Y,,
"s.events=""scAdd""",,N,Y,N,Y,,
"s.events=""scRemove""",,N,Y,N,Y,,
"s.events=""scView""",,N,Y,N,Y,,
"s.events=""scCheckout""",,N,Y,N,Y,,
"s.events=""purchase""",,N,Y,N,Y,,
"s.events=""purchase"" with s.products",,N,Y,N,Y,,
"s.events=""purchase"" with s.products",,N,Y,N,Y,,
"s.events=""event1""",Y,N,Y,N,Y,,
"s.events=""event2""",N - Needs to be added to data layer,N,Y,N,Y,,
"s.events=""event3""",Y - Custom action call not implemented ,N,Y,N,Y,,
"s.events=""event4""",N - Needs to be added to data layer,N,Y,N,Y,,
"s.events=""event5""",Y,N,Y,N,Y,,
"s.events=""event6""",Y,N,Y,,Y,,
"s.events=""event7""",Y,N,Y,,Y,,
"s.events=""event8""",Y,N,Y,,Y,,
"s.events=""event9""",N - Needs to be added to data layer,N,Y,,Y,,
"s.events=""event10""",Y,N,Y,,Y,,
"s.events=""event11""",N - Functionality not on site,,Y,N,Y,,
"s.events=""event12""",N - Functionality not on site,N,Y,N,Y,,
"s.events=""event13""",Y,N,Y,N,Y,,
"s.events=""event14""",Y,,Y,N,N,,
"s.events=""event15""",N - Needs to be added to data layer,,Y,N,Y,,
"s.events=""event16""",,,Y,N,Y,,
"s.events=""event17""",,,Y,N,N,,
"s.events=""event18""",,N,Y,N,Y,,
"s.events=""event19""",,N,Y,N,Y,,
"s.events=""event20""",,N,Y,N,N,,
"s.events=""event21""",,,Y,N,N,,
"s.events=""event22""",,,Y,N,N,,
"s.events=""event23""",,,Y,N,N,,
"s.events=""event24""",,N,Y,N,N,,
"s.events=""event25""",,N,Y,N,N,,
"s.events=""event26""",,N,Y,N,N,,
"s.events=""event27""",,N,Y,N,N,,
"s.events=""event28""",,N,Y,N,N,,
"s.events=""event29""",,N,Y,N,N,,
"s.events=""event30""",,N,Y,N,N,,
"s.events=""event31""",,,Y,N,N,,
"s.events=""event32""",,,Y,N,N,,
"s.events=""event33""",,,N,,N,,
"s.events=""event34""",,N,N,N,N,,
"s.events=""event35""",,N,Y,,Y,,
"s.events=""event36""",,,N,,N,,
"s.events=""event37""",,,N,,N,,
"s.events=""event38""",,,N,,N,,
"s.events=""event39""",,,Y,,N,,
"s.events=""event40""",,,Y,,Y,,
"s.events=""event41""",,,Y,,Y,,
"s.events=""event42""",,,Y,,N,,
"s.events=""event43""",,,Y,,N,,
"s.events=""event44""",,,Y,,N,,
"s.events=""event45""",,,Y,,N,,
"s.events=""event46""",,,Y,,N,,
"s.events=""event47""",,,Y,,N,,
"s.events=""event48""",,,Y,,N,,
"s.events=""event49""",,,Y,,N,,
"s.events=""event50""",,,Y,,Y,,
"s.events=""event51""",Y,N,Y,N,N,,
"s.events=""event52""",Y,N,Y,N,N,,
"s.events=""event53""",N - Needs to be added to data layer,,Y,,Y,,
"s.events=""event54""",Y,,Y,,Y,,
"s.events=""event55""",,N,Y,,Y,,
"s.events=""event56""",,,Y,,N,,
"s.events=""event57""",,N,Y,,N,,
"s.events=""event58""",,N,Y,,Y,,
"s.events=""event59""",,N,Y,,N,,
"s.events=""event60""",,,Y,N,N,,
"s.events=""event61""",,,Y,N,N,,
"s.events=""event62""",,N,Y,N,N,,
"s.events=""event63""",,N,Y,N,N,,
"s.events=""event64""",,,Y,N,N,,
"s.events=""event65""",,,Y,N,N,,
"s.events=""event66""",,,Y,N,N,,
"s.events=""event67""",,,Y,N,N,,
"s.events=""event68""",,,Y,N,N,,
"s.events=""event69""",,,Y,N,N,,
"s.events=""event70""",,,Y,N,N,,
"s.events=""event71""",,,Y,N,N,,
"s.events=""event72""",,,Y,N,N,,
"s.events=""event73""",,,Y,N,N,,
"s.events=""event74""",,,Y,N,N,,
"s.events=""event75""",,,Y,N,N,,
"s.events=""event76""",,,Y,N,N,,
