Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,,,
"s.events=""prodView""",,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
"s.events=""scOpen""",,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
"s.events=""scAdd""",,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
"s.events=""scRemove""",,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
"s.events=""scView""",,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
"s.events=""scCheckout""",,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
"s.events=""purchase""",,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
"s.events=""purchase"" with s.products",,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
"s.events=""purchase"" with s.products",,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
"s.events=""event1""",,,,Grandfathered In,Follow LC Standards,,,,
"s.events=""event2""",,,,,Follow LC Standards,,,,
"s.events=""event3""",,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
"s.events=""event4""",,,,,Follow LC Standards,,,,
"s.events=""event5""",,,,,Follow LC Standards,,,,
"s.events=""event6""",,,,,Follow LC Standards,,,,
"s.events=""event7""",,,,,Follow LC Standards,,,,
"s.events=""event8""",,,,,Follow LC Standards,,,,
"s.events=""event9""",,,,,Follow LC Standards,,,,
"s.events=""event10""",,,,,Follow LC Standards,,,,
"s.events=""event11""",,,,,Follow LC Standards,,,,
"s.events=""event12""",,,,,Follow LC Standards,,,,
"s.events=""event13""",,,,Grandfathered In,Follow LC Standards,,,,
"s.events=""event14""",,,,,Follow LC Standards,,,,
"s.events=""event15""",,,,Grandfathered In,Follow LC Standards,,,,
"s.events=""event16""",,,,Grandfathered In,Follow LC Standards,,,,
"s.events=""event17""",,,,Grandfathered In,Follow LC Standards,,,,
"s.events=""event18""",,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
