Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,
"s.events=""prodView""",,s.events = 'prodView',s.events = 'prodView',s.events = 'prodView',s.events = 'prodView',,
"s.events=""scOpen""",,s.events = 'scOpen',s.events = 'scOpen',s.events = 'scOpen',s.events = 'scOpen',,
"s.events=""scAdd""",,s.events = 'scAdd',s.events = 'scAdd',s.events = 'scAdd',s.events = 'scAdd',,
"s.events=""scRemove""",,s.events = 'scRemove',s.events = 'scRemove',s.events = 'scRemove',s.events = 'scRemove',,
"s.events=""scView""",,s.events = 'scView',s.events = 'scView',s.events = 'scView',s.events = 'scView',,
"s.events=""scCheckout""",,s.events = 'scCheckout',s.events = 'scCheckout',s.events = 'scCheckout',s.events = 'scCheckout',,
"s.events=""purchase""",,s.events = 'purchase',s.events = 'purchase',s.events = 'purchase',s.events = 'purchase',,
"s.events=""purchase"" with s.products",,"s.events=""revenue""","s.events=""revenue""","s.events=""revenue""","s.events=""revenue""",,
"s.events=""purchase"" with s.products",,"s.events=""units""","s.events=""units""","s.events=""units""","s.events=""units""",,
"s.events=""event1""","s.events=""event1""","s.events=""event1""","s.events=""event1""","s.events=""event1""","s.events=""event1""",,
"s.events=""event2""","s.events=""event2""","s.events=""event2""","s.events=""event2""","s.events=""event2""","s.events=""event2""",,
"s.events=""event3""","s.events=""event3""","s.events=""event3""","s.events=""event3""","s.events=""event3""","s.events=""event3""",,
"s.events=""event4""","s.events=""event4""","s.events=""event4""","s.events=""event4""","s.events=""event4""","s.events=""event4""",,
"s.events=""event5""","s.events=""event5""","s.events=""event5""","s.events=""event5""","s.events=""event5""","s.events=""event5""",,
"s.events=""event6""","s.events=""event6""","s.events=""event6""","s.events=""event6""",,"s.events=""event6""",,
"s.events=""event7""","s.events=""event7""","s.events=""event7""","s.events=""event7""",,"s.events=""event7""",,
"s.events=""event8""","s.events=""event8""","s.events=""event8""","s.events=""event8""",,"s.events=""event8""",,
"s.events=""event9""","s.events=""event9""","s.events=""event9""","s.events=""event9""",,"s.events=""event9""",,
