Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,
"s.events=""prodView""",,Product View,Product View,Product View,Product View,,
"s.events=""scOpen""",,Open Cart,Open Cart,Open Cart,Open Cart,,
"s.events=""scAdd""",,Add to Cart,Add to Cart,Add to Cart,Add to Cart,,
"s.events=""scRemove""",,Remove from Cart,Remove from Cart,Remove from Cart,Remove from Cart,,
"s.events=""scView""",,Cart View,Cart View,Cart View,Cart View,,
"s.events=""scCheckout""",,Checkout,Checkout,Checkout,Checkout,,
"s.events=""purchase""",,Purchase,Purchase,Purchase,Purchase,,
"s.events=""purchase"" with s.products",,Revenue,Revenue,Revenue,Revenue,,
"s.events=""purchase"" with s.products",,Units,Units,Units,Units,,
"s.events=""event1""",Email: Subscriptions,Email: Subscriptions,Email: Subscriptions,Email: Subscriptions,Email: Subscriptions,,
"s.events=""event2""",Email: Un-Subscribe,Email: Un-Subscribe,Email: Un-Subscribe,Email: Un-Subscribe,Email: Un-Subscribe,,
"s.events=""event3""",Store Locator: Searches,Store Locator: Searches,Store Locator: Searches,Store Locator: Searches,Store Locator: Searches,,
"s.events=""event4""",Store Locator: Null Results,Store Locator: Null Results,Store Locator: Null Results,Store Locator: Null Results,Store Locator: Null Results,,
"s.events=""event5""",Internal Campaign Clicked,Internal Campaign Clicked,Internal Campaign Clicked,Internal Campaign Clicked,Internal Campaign Clicked,,
"s.events=""event6""",Appointment Scheduler: Started,Appointment Scheduler: Started,Appointment Scheduler: Started,,Appointment Scheduler: Started,,
"s.events=""event7""",Appointment Scheduler: Step 2,Appointment Scheduler: Step 2,Appointment Scheduler: Step 2,,Appointment Scheduler: Step 2,,
"s.events=""event8""",Appointment Scheduler: Completed,Appointment Scheduler: Completed,Appointment Scheduler: Completed,,Appointment Scheduler: Completed,,
"s.events=""event9""",Appointment Scheduler: Modified,Appointment Scheduler: Modified,Appointment Scheduler: Modified,,Appointment Scheduler: Modified,,
"s.events=""event10""",Appointment Scheduler: Deleted,Appointment Scheduler: Deleted,Appointment Scheduler: Deleted,,Appointment Scheduler: Deleted,,
"s.events=""event11""",Add to my contacts,,Add to my contacts,Add to my contacts,Add to my contacts,,
"s.events=""event12""",Click to Call,Click to Call,Click to Call,Click to Call,Click to Call,,
"s.events=""event13""",Social Share,Social Share,Social Share,Social Share,Social Share,,
"s.events=""event14""",Print Coupons,,Print Coupons,Print Coupons,Print Coupons,,
