Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,Sears Optical,
"s.events=""prodView""",,On product detail pages,On product detail pages,On product detail pages,On product detail pages,,,
"s.events=""scOpen""",,On cart open,On cart open,On cart open,On cart open,,,
"s.events=""scAdd""",,On cart addition,On cart addition,On cart addition,On cart addition,,,
"s.events=""scRemove""",,On removal from cart,On removal from cart,On removal from cart,On removal from cart,,,
"s.events=""scView""",,On cart views,On cart views,On cart views,On cart views,,,
"s.events=""scCheckout""",,On checkout,On checkout,On checkout,On checkout,,,
"s.events=""purchase""",,On purchase confirmation,On purchase confirmation,On purchase confirmation,On purchase confirmation,,,
"s.events=""purchase"" with s.products",,On purchase confirmation,On purchase confirmation,On purchase confirmation,On purchase confirmation,,,
"s.events=""purchase"" with s.products",,On purchase confirmation,On purchase confirmation,On purchase confirmation,On purchase confirmation,,,
"s.events=""event1""",OnClick of the 'subscribe button',OnClick of the 'subscribe button',OnClick of the 'subscribe button',OnClick of the 'subscribe button',OnClick of the 'subscribe button',,,
"s.events=""event2""",OnClick of the 'unsubscribe button',OnClick of the 'unsubscribe button',OnClick of the 'unsubscribe button',OnClick of the 'unsubscribe button',OnClick of the 'unsubscribe button',,,
"s.events=""event3""",On Store Locator results page,On Store Locator results page,On Store Locator results page,On Store Locator results page,On Store Locator results page,,,
"s.events=""event4""",On Null Store Locator results page,On Null Store Locator results page,On Null Store Locator results page,On Null Store Locator results page,On Null Store Locator results page,,,
"s.events=""event5""",OnClick of internal campaign,OnClick of internal campaign,OnClick of internal campaign,OnClick of internal campaign,OnClick of internal campaign,,,
"s.events=""event6""",Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,Automatically set in the s_code,,,
"s.events=""event7""",On Review and Book page,On Review and Book page,On Review and Book page,,On Review and Book page,,,
"s.events=""event8""",On Confirmation page,On Confirmation page,On Confirmation page,,On Confirmation page,,,
"s.events=""event9""",OnClick of modification,OnClick of modification,OnClick of modification,,OnClick of modification,,,
"s.events=""event10""",OnClick of Deleted,OnClick of Deleted,OnClick of Deleted,,OnClick of Deleted,,,
"s.events=""event11""",OnClick of add to contacts,,OnClick of add to contacts,OnClick of add to contacts,OnClick of add to contacts,,,
"s.events=""event12""",OnClick to call,OnClick to call,OnClick to call,OnClick to call,OnClick to call,,,
"s.events=""event13""",OnClick of Social event,OnClick of Social event,OnClick of Social event,OnClick of Social event,OnClick of Social event,,,
"s.events=""event14""","OnClick of ""Print Coupon""",,"OnClick of ""Print Coupon""","OnClick of ""Print Coupon""","OnClick of ""Print Coupon""",,,
"s.events=""event15""",On registration confirmation page,,On registration confirmation page,On registration confirmation page,On registration confirmation page,,,
"s.events=""event16""",,,On product detail pages,On product detail pages,On product detail pages,,,
"s.events=""event17""",,,"onClick of ""Quick view""","onClick of ""Quick view""","onClick of ""Quick view""",,,
"s.events=""event18""",,On null search results page,On null search results page,On null search results page,On null search results page,,,
"s.events=""event19""",,On search results page,On search results page,On search results page,On search results page,,,
"s.events=""event20""",,On page load after refinement,On page load after refinement,On page load after refinement,On page load after refinement,,,
"s.events=""event21""",,,On page load after 1st refinement,On page load after 1st refinement,On page load after 1st refinement,,,
"s.events=""event22""",,,On page load after 2nd refinement,On page load after 2nd refinement,On page load after 2nd refinement,,,
"s.events=""event23""",,,On page load after 3rd refinement,On page load after 3rd refinement,On page load after 3rd refinement,,,
"s.events=""event24""",,On step 1 page in checkout process,On step 1 page in checkout process,On step 1 page in checkout process,On step 1 page in checkout process,,,
"s.events=""event25""",,On step 2 page in checkout process,On step 2 page in checkout process,On step 2 page in checkout process,On step 2 page in checkout process,,,
"s.events=""event26""",,On step 3 page in checkout process,On step 3 page in checkout process,On step 3 page in checkout process,On step 3 page in checkout process,,,
"s.events=""event27""",,When product is added to cart,When product is added to cart,When product is added to cart,When product is added to cart,,,
"s.events=""event28""",,On purchase confirmation page,On purchase confirmation page,On purchase confirmation page,On purchase confirmation page,,,
"s.events=""event29""",,On purchase confirmation page,On purchase confirmation page,On purchase confirmation page,On purchase confirmation page,,,
"s.events=""event30""",,OnClick of the 'Wishlist' button,OnClick of the 'Wishlist' button,OnClick of the 'Wishlist' button,OnClick of the 'Wishlist' button,,,
"s.events=""event31""",,,Beginning of a product review,Beginning of a product review,Beginning of a product review,,,
"s.events=""event32""",,,Completion of a product review,Completion of a product review,Completion of a product review,,,
"s.events=""event33""",,,,,,,,
"s.events=""event34""",,On Login confirmation page,,On Login confirmation page,,,,
"s.events=""event35""",,Automatically set in the s_code,Automatically set in the s_code,,Automatically set in the s_code,,,
"s.events=""event36""",,,,,,,,
"s.events=""event37""",,,,,,,,
"s.events=""event38""",,,,,,,,
"s.events=""event39""",,,,,When product quick info is shown,,,
"s.events=""event40""",,,,,Scheduler Step 3 page,,,
"s.events=""event41""",,,,,Scheduler Add Another Exam,,,
"s.events=""event42""",,,,,Mobile: on click of promo,,,
"s.events=""event43""",,,,,,,,
"s.events=""event44""",,,,,,,,
"s.events=""event45""",,,,,,,,
"s.events=""event46""",,,,,,,,
"s.events=""event47""",,,,,,,,
"s.events=""event48""",,,,,,,,
"s.events=""event49""",,,Automatically set in the s_code,,,,,
"s.events=""event50""",,,On page load,,,,,
"s.events=""event51""",On page load,On page load,On page load,On page load,,,,
"s.events=""event52""",OnClick to email driving directions,OnClick to email driving directions,OnClick to email driving directions,OnClick to email driving directions,,,,
"s.events=""event53""",On Click to change store location,,,,,,,
"s.events=""event54""",On local store page load,,On submit of the survey,,site feature usage,,,
"s.events=""event55""",,OnClick of 'chat',OnClick of 'chat',,OnClick of 'Print' CTA's,,,
"s.events=""event56""",,,OnClick of 'email',,,,,
"s.events=""event57""",,OnClick of lens added,OnClick of 'Print',,,,,
"s.events=""event58""",,On error page,OnClick of 'Add to Favorites',,OnClick of 'Add to Favorites',,,
"s.events=""event59""",,On add to cart,OnClick of site navigation,,OnClick of site navigation,,,
"s.events=""event60""",,,On Start of 'Find Your Lens',On launch of the tool,,,,
"s.events=""event61""",,,On Completion of 'Find Your Lens',On click the  'skip' button,,,,
"s.events=""event62""",,On first product added to trial pack,On product results pages,On page load in ISG,,,,
"s.events=""event63""",,On trial pack purchase confirmation page,OnClick of the 'Print Your Look',On page load,,,,
"s.events=""event64""",,,On Start of 'Lens Simulator',On first page in ISG,,,,
"s.events=""event65""",,,On Completion of 'Lens Simulator',On 'step 2' of ISG,,,,
"s.events=""event66""",,,On Form Error,On 'step 3' of ISG,,,,
"s.events=""event67""",,,On Form Submission,On 'step 4' of ISG,,,,
"s.events=""event68""",,,,On 'step 5' of ISG,,,,
"s.events=""event69""",,,,On 'step 6' of ISG,,,,
"s.events=""event70""",,,,On results page of ISG,,,,
"s.events=""event71""",,,,On product page after keyword search,,,,
"s.events=""event72""",,,,On purchase confirmation page,,,,
"s.events=""event73""",,,,On purchase confirmation page,,,,
"s.events=""event74""",,,,,,,,
"s.events=""event75""",,,,,,,,
"s.events=""event76""",,,,,,,,
"s.events=""event77""",,,,,,,,
"s.events=""event78""",,,,,,,,
"s.events=""event79""",,,,,,,,
"s.events=""event80""",,,,,,,,
"s.events=""event81""",,,,,,,,
"s.events=""event82""",,,On submit of the 'contact us',,On submit of the 'contact us',,,
"s.events=""event83""",,,,,Click of store locator result,,,
"s.events=""event84""",,,,,,,,
"s.events=""event85""",,,,,On load of doctor detail page,,,
"s.events=""event86""",,,,,On load of store detail page,,,
"s.events=""event87""",,,,,On click of 'get directions' CTA's,,,
"s.events=""event88""",,,OnClick of in store look-ups,,On successful selection of preferred store,,,
"s.events=""event89""",,,,,On opt-in of special offers typically at registration,,,
"s.events=""event90""",,,,,On click of turning off a filter,,,
"s.events=""event91""",,,On page load with E-spots e.g. homepage. Set with s.products=[e-spot],,On page load with E-spots e.g. homepage. Set with s.products=[e-spot],,,
"s.events=""event92""",,,,,,,,
"s.events=""event93""",,,,,,,,
"s.events=""event94""",,,,,,,,
"s.events=""event95""",,,,,,,,
"s.events=""event96""",,,,,,,,
"s.events=""event97""",,,,,,,,
"s.events=""event98""",,,,,,,,
