SearsOptical.com Tag Specs,3/27/15,Site_Events,Global Variables,,,,,,,,,,,,,,,Page/Event Specific Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page - Element,Request Type,,page[level_1],page[level_2],page[level_3],page[level_4],page[level_n],layout_type,"banner_impressions[n][""banner_id""]","banner_impressions[n][""banner_size""]","banner_clicked[""banner_id""]","banner_clicked[""banner_size""]",authentication_status,country,language_code,products_viewed[n],favorite_products[n],zip_code,brand,customer_lead_id,customer_lead_level,customer_lead_type,"exams[n][""exam_id""]","exams[n][""exam_date""]","exams[n][""exam_time""]","exams[n][stores[n][""avail_exam""]]","exams[n][stores[n][""store_id""]","exams[n][stores[n][""online_scheduling""]]","exams[n][stores[n][""address""]]","exams[n][stores[n][""city""]]","exams[n][stores[n][""state""]]","exams[n][stores[n][""zip""]]",filters.gender,filters.brand,filters.type,filters.price_range.min_price,filters.price_range.max_price,filters.color,filters.face_shape,filters.frame_shape,filters.fit,filters.materials,filters.special_offers,keyword,"products[n][""upc""]","products[n][""price""]","products[n][""brand""]","products[n][""style""]","products[n][""model""]",products_viewed[n],preferred_store,registration_status,resutls_count,"stores[n][""avail_exam""]","stores[n][""store_id""]","stores[n][""online_scheduling""]","stores[n][""address""]","stores[n][""city""]","stores[n][""state""]","stores[n][""zip""]","stores[n][""miles_from_customer""]","stores[n][""result_position""]","stores[n][""zip_method""]",
Global Elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search  ,Page Load,successful_search,search,results,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,<matching brand>,,,,,,,,,,,,,,,,,,,,,,,,,<search term(s)>,"[upc,..]","[price,..]","[brand,...]","[style,...]","[model,...]",,,,<# of results>,,,,,,,,,,,
Search  ,Page Load,unsuccessful_search,search,results,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,<search term(s)>,,,,,,,,,"""0""",,,,,,,,,,,
Search  ,In-page Interaction,"successful_search, successful_search_recommend",<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,<search term(s)>,[upc],[price],[brand],[style],[model],,,,<# of results>,,,,,,,,,,,
Special Offers Opt-In,In-page Interaction,email_signup,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,<unique submission id>,partial:email,receive updates,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De-Authentication (Sign-Out),In-page Interaction,sign_out,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,logged out,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Password Reset,In-page Interaction,forgot_password,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,logged out,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banner Click-thru,In-page Interaction,banner_click,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,<banner id>,<banner dimensions>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section: Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homepage,Page Load,,home,,,home,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section: Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category Landing Page,Page Load,,"<category e.g., mens or brands>",,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product List Page,Page Load,product_list_page,"<category e.g., mens or brands>","<product type e.g., eyeglasses or new arrivals>",,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,[gender],[brand(s)],[type(s)],<min price>,<max price>,[color(s)],[face shape(s)],[frame shape(s)],[fit(s)],[material(s)],[special offers],,"[upc,..]","[price,..]","[brand,...]","[style,...]","[model,...]",,,,,,,,,,,,,,,
Product List Page,in-page interaction,modify_filter,<inherit from _dl>,<inherit from _dl>,,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,[gender],[brand(s)],[type(s)],<min price>,<max price>,[color(s)],[face shape(s)],[frame shape(s)],[fit(s)],[material(s)],[special offers],,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
